Hostname,Environment (Arch),Application/Purpose (Arch),OS (Arch),Treatment Plan/Project (Arch),Timeframe (Arch),Controls (Arch),Inherent Risk (Arch),Residual Risk (Arch),JSM Match?,JSM Status,JSM OS,JSM Environment,JSM Location,JSM Last Scan Date,BigFix Detected?,BigFix OS,SNOW Match Key,SNOW Detected?,SNOW OS,State #,State Label,Environment Tier,RAG,Notes / Exceptions,Notes (Arch)
NZAKLMGTMS01,Production,Virtual Management Server,Microsoft Windows Server 2008 R2 Standard,Remote Access Migration (unplanned),TBD,Monitoring,High,High,Y,Decommissioned,Microsoft Windows Server 2008 R2 Standard,Non Functional Requirements,Bluecurrent Wellington,29/May/25,N,,NZAKLMGTMS01,N,,1,Remediated,Critical,Green,"Env mismatch: JSM says 'Non Functional Requirements', Architecture says 'Production' - review",
NZAKLSMGMS01,Production,Management Server - SMG,Microsoft Windows Server 2008 R2 Standard,Remote Access Migration (unplanned),TBD,Monitoring,High,High,Y,Decommissioned,Microsoft Windows Server 2008 R2 Standard,Non Functional Requirements,Datacom Data Centre Orbit,13/Apr/26,N,,NZAKLSMGMS01,N,,1,Remediated,Critical,Green,"Env mismatch: JSM says 'Non Functional Requirements', Architecture says 'Production' - review",
NZWLGDTSMS2,Test,Dataservices test machine,Microsoft Windows Server 2008 R2 Standard,Modern Data Platform,FY27,Monitoring,High,High,Y,In Service,Microsoft Windows Server 2008 R2 Standard,Test,Datacom Data Centre Wellington,18/May/26,Y,Win2008R2 6.1.7601,NZWLGDTSMS2,Y,Windows Server 2008 R2 Standard,2,Planned,Lower,Green,,
NZWLGMGTMS01,Disaster Recovery/Development,Jump Host - Wellington Windows,Microsoft Windows Server 2008 R2 Standard,Remote Access Migration (unplanned),TBD,Monitoring,High,High,Y,Decommissioned,Microsoft Windows Server 2008 R2 Standard,Non Functional Requirements,Datacom Data Centre Wellington,29/May/25,N,,NZWLGMGTMS01,N,,1,Remediated,Lower,Green,"Env mismatch: JSM says 'Non Functional Requirements', Architecture says 'Disaster Recovery/Development' - review",
NZAKLARCHMS1,Production,FTP data Archive,Microsoft Windows Server 2012 R2 Standard,SFTP Upgrade and Migration,FY26 Q3,Monitoring,High,High,Y,In Service,Microsoft Windows Server 2012 R2 Standard,Production,Datacom Data Centre Orbit,18/May/26,Y,Win2012R2 6.3.9600,NZAKLARCHMS1,Y,Windows Server 2012 R2 Standard,2,Planned,Critical,Amber,,
NZAKLGISMS1,Production,GIS Server,Microsoft Windows Server 2012 R2 Standard,Billing Strategy,TBD,Monitoring,High,High,Y,Decommissioned,Microsoft Windows Server 2012 R2 Standard,Non Functional Requirements,Datacom Data Centre Orbit,03/Nov/26,N,,NZAKLGISMS1,N,,1,Remediated,Critical,Green,"Env mismatch: JSM says 'Non Functional Requirements', Architecture says 'Production' - review",
NZAKLSMPFTPMS1,Production,FTP Server,Microsoft Windows Server 2012 R2 Standard,SFTP Upgrade and Migration,FY26 Q3,Monitoring,High,High,Y,For Decommissioning,Microsoft Windows Server 2012 R2 Standard,Production,Datacom Data Centre Orbit,18/May/26,Y,Win2012R2 6.3.9600,NZAKLSMPFTPMS1,Y,Windows Server 2012 R2 Standard,1,Remediated,Critical,Green,,
NZWLGSMGMS01,Production,Management Server - SMG/Third Party,Microsoft Windows Server 2012 R2 Standard,Remote Access Migration (unplanned),TBD,Monitoring,High,High,Y,Decommissioned,Microsoft Windows Server 2012 R2 Standard,Production,Datacom Data Centre Orbit,29/May/25,N,,NZWLGSMGMS01,N,,1,Remediated,Critical,Green,,
VIRAZIIS,Production,Vircom IIS Web Server,Microsoft Windows Server 2016 Datacenter,Bluecurrent Electrical Services remains isolated from Bluecurrent operating environment.,,Tenant Isolation,Medium,Medium,Y,In Service,Microsoft Windows Server 2016 Datacenter,Production,Azure Cloud,18/May/26,Y,Win2016 10.0.14393.9339 (1607),VIRAZIIS,Y,Windows Server 2016 Datacenter,3,No Plan,Critical,Red,,
VIRAZSQL,Production,Vircom SQL,Microsoft Windows Server 2016 Datacenter,Bluecurrent Electrical Services remains isolated from Bluecurrent operating environment.,,Tenant Isolation,Medium,Medium,Y,In Service,Microsoft Windows Server 2016 Datacenter,Production,Azure Cloud,18/May/26,Y,Win2016 10.0.14393.9234 (1607),VIRAZSQL,Y,Windows Server 2016 Datacenter,3,No Plan,Critical,Red,,
VIRAZRDS,Production,Vircom RDS,Microsoft Windows Server 2016 Datacenter,Bluecurrent Electrical Services remains isolated from Bluecurrent operating environment.,,Tenant Isolation,Medium,Medium,Y,In Service,Microsoft Windows Server 2016 Datacenter,Production,Azure Cloud,18/May/26,Y,Win2016 10.0.14393.9339 (1607),VIRAZRDS,Y,Windows Server 2016 Datacenter,3,No Plan,Critical,Red,,
VIRAZSSRS,Production,Vircom SQL Reporting Services,Microsoft Windows Server 2016 Datacenter,Bluecurrent Electrical Services remains isolated from Bluecurrent operating environment.,,Tenant Isolation,Medium,Medium,Y,In Service,Microsoft Windows Server 2016 Datacenter,Production,Azure Cloud,18/May/26,Y,Win2016 10.0.14393.9339 (1607),VIRAZSSRS,Y,Windows Server 2016 Datacenter,3,No Plan,Critical,Red,,
AWS-BC-EXCH-01,Production,MS Exchange,Microsoft Windows Server 2016 Datacenter,Exchange Upgrade (In Progress),FY26 Q3,Monitoring,Medium,Medium,Y,Decommissioned,Microsoft Windows Server 2016 Datacenter,Non Functional Requirements,AWS Cloud,0,N,,AWS-BC-EXCH-01,N,,1,Remediated,Critical,Green,"Env mismatch: JSM says 'Non Functional Requirements', Architecture says 'Production' - review",
AWS-BC-EXCH-02,Production,MS Exchange,Microsoft Windows Server 2016 Datacenter,Exchange Upgrade (In Progress),FY26 Q3,Monitoring,Medium,Medium,Y,Decommissioned,Microsoft Windows Server 2016 Datacenter,Non Functional Requirements,AWS Cloud,0,N,,AWS-BC-EXCH-02,N,,1,Remediated,Critical,Green,"Env mismatch: JSM says 'Non Functional Requirements', Architecture says 'Production' - review",
VIRAZRDSTEST,Test,Vircom RDS Test,Microsoft Windows Server 2016 Datacenter,Bluecurrent Electrical Services remains isolated from Bluecurrent operating environment.,,Tenant Isolation,Medium,Medium,Y,In Service,Microsoft Windows Server 2016 Datacenter,Test,Azure Cloud,18/May/26,Y,Win2016 10.0.14393.9339 (1607),VIRAZRDSTEST,Y,Windows Server 2016 Datacenter,3,No Plan,Lower,Amber,,
VIRAZSQLTEST,Test,Vircom SQL Test,Microsoft Windows Server 2016 Datacenter,Bluecurrent Electrical Services remains isolated from Bluecurrent operating environment.,,Tenant Isolation,Medium,Medium,Y,In Service,Microsoft Windows Server 2016 Datacenter,Test,Azure Cloud,18/May/26,Y,Win2016 10.0.14393.9339 (1607),VIRAZSQLTEST,Y,Windows Server 2016 Datacenter,3,No Plan,Lower,Amber,,
VIRAZSSRSTEST,Test,Vircom SQL Reporting Test,Microsoft Windows Server 2016 Datacenter,Bluecurrent Electrical Services remains isolated from Bluecurrent operating environment.,,Tenant Isolation,Medium,Medium,Y,In Service,Microsoft Windows Server 2016 Datacenter,Test,Azure Cloud,18/May/26,Y,Win2016 10.0.14393.9339 (1607),VIRAZSSRSTEST,Y,Windows Server 2016 Datacenter,3,No Plan,Lower,Amber,,
VIRAZIISTEST,Test,Vircom IIS Web Server Test,Microsoft Windows Server 2016 Datacenter,Bluecurrent Electrical Services remains isolated from Bluecurrent operating environment.,,Tenant Isolation,Medium,Medium,Y,In Service,Microsoft Windows Server 2016 Datacenter,Test,Azure Cloud,18/May/26,Y,Win2016 10.0.14393.9339 (1607),VIRAZIISTEST,Y,Windows Server 2016 Datacenter,3,No Plan,Lower,Amber,,
NZAKLAMQAPPRH2,Production,ActiveMQ - Production,Red Hat Enterprise Linux 5.11,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 5.11,Production,Datacom Data Centre Orbit,01/Jan/00,N,,NZAKLAMQAPPRH2,N,,2,Planned,Critical,Amber,,
NZAKLGENRH01,Production,Gentrack Server,Red Hat Enterprise Linux 5.11,Decommissioning in progress,FY26 Q2,Network Isolation,High,Medium,Y,Retired,Red Hat Enterprise Linux 5.11,Production,Datacom Data Centre Orbit,29/May/25,N,,NZAKLGENRH01,N,,1,Remediated,Critical,Green,,
NZAKLLDBAPPRH4,Production,Apache Load Balancer for Mulesoft,Red Hat Enterprise Linux 5.11,Integration Modernisation,FY27,Monitoring,Critical,Critical,Y,In Service,Red Hat Enterprise Linux 5.11,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 5.11 (2.6.18-439.el5),NZAKLLDBAPPRH4,N,,2,Planned,Critical,Amber,,
NZWLGJENAPPRH1,Production,Code and Release,Red Hat Enterprise Linux 5.11,Digital Restructure (SRE / DevOps),FY26 Q3,Monitoring,High,High,Y,Retired,Red Hat Enterprise Linux 5.11,Production,Datacom Data Centre Wellington,29/May/25,Y,Linux Red Hat Enterprise Server 5.11 (2.6.18-440.el5),NZWLGJENAPPRH1,N,,1,Remediated,Critical,Green,,
NZWLGJENAPPRH2,Production,Code and Release,Red Hat Enterprise Linux 5.11,Digital Restructure (SRE / DevOps),FY26 Q3,Monitoring,High,High,Y,Retired,Red Hat Enterprise Linux 5.11,Production,Bluecurrent Wellington,29/May/25,Y,Linux Red Hat Enterprise Server 5.11 (2.6.18-440.el5),NZWLGJENAPPRH2,N,,1,Remediated,Critical,Green,,
NZWLGJIRARH1,Production,JIRA,Red Hat Enterprise Linux 5.11,Modern Data Platform + CFM Replacement,FY27 Q1,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 5.11,Production,Bluecurrent Wellington,01/Jan/00,N,,JIRA,Y,Red Hat Enterprise Linux 5 Server,2,Planned,Critical,Amber,,
NZWLGJIRARH2,Production,TEST,Red Hat Enterprise Linux 5.11,Modern Data Platform + CFM Replacement,FY27 Q1,Network Isolation,Critical,High,Y,Retired,Red Hat Enterprise Linux 5.11,Test,Datacom Data Centre Orbit,29/May/25,N,,NZWLGJIRARH2,N,,1,Remediated,Critical,Green,"Env mismatch: JSM says 'Test', Architecture says 'Production' - review",
NZWLGLDBAPPRH1,Test,Apache Load Balancer for Mulesoft,Red Hat Enterprise Linux 5.11,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 5.11,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 5.11 (2.6.18-440.el5),NZWLGLDBAPPRH1,N,,2,Planned,Lower,Green,,
NZWLGLDBAPPRH4,Test,Apache Load Balancer for Mulesoft,Red Hat Enterprise Linux 5.11,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 5.11,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 5.11 (2.6.18-440.el5),NZWLGLDBAPPRH4,N,,2,Planned,Lower,Green,,
NZWLGNXSAPPRH1,Production,Code and Release Server,Red Hat Enterprise Linux 5.11,Digital Restructure (SRE / DevOps),FY26 Q4,Monitoring,High,High,Y,In Service,Red Hat Enterprise Linux 5.11,Production,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 5.11 (2.6.18-440.el5),NZWLGNXSAPPRH1,N,,2,Planned,Critical,Amber,,
NZWLGSVNAPPRH1,Production,Code and Release Server - SIT,Red Hat Enterprise Linux 5.11,Digital Restructure (SRE / DevOps),FY26 Q4,Monitoring,High,High,Y,In Service,Red Hat Enterprise Linux 5.11,Production,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 5.11 (2.6.18-440.el5),NZWLGSVNAPPRH1,N,,2,Planned,Critical,Amber,,
NZWLGWEBAPPRH1,Disaster Recovery/Development,web application,Red Hat Enterprise Linux 5.11,Further Investigation Required,,Network Isolation,High,Medium,Y,In Service,Red Hat Enterprise Linux 5.11,Disaster Recovery/Development,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 5.11 (2.6.18-440.el5),NZWLGWEBAPPRH1,N,,3,No Plan,Lower,Amber,,No details on this server. Ben Hasler reached out to Nigel W on the 29th July to track down and advise.
TEST3AMQAPPRH01,Test,ActiveMQ test3,Red Hat Enterprise Linux 5.11,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 5.11,Test,Datacom Data Centre Wellington,01/Jan/00,N,,TEST3AMQAPPRH01,N,,2,Planned,Lower,Green,,
TEST3MSAPPRH01,Test,Mulesoft Server - Test3,Red Hat Enterprise Linux 5.11,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 5.11,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 5.11 (2.6.18-419.el5),TEST3MSAPPRH01,N,,2,Planned,Lower,Green,,
TEST3MSAPPRH02,Test,Mulesoft TEST3,Red Hat Enterprise Linux 5.11,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 5.11,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 5.11 (2.6.18-419.el5),TEST3MSAPPRH02,N,,2,Planned,Lower,Green,,
TEST3MSLDBRH01,Test,Mulesoft Load Balancer,Red Hat Enterprise Linux 5.11,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 5.11,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 5.11 (2.6.18-419.el5),TEST3MSLDBRH01,N,,2,Planned,Lower,Green,,
NZWLGEIPWEBRH3,Production,EIP Web,Red Hat Enterprise Linux 5.11,Decommission In Progress,FY26 Q3,Monitoring,High,High,Y,Retired,Red Hat Enterprise Linux 5.11,Production,0,25/Mar/25,N,,NZWLGEIPWEBRH3,N,,1,Remediated,Critical,Green,,
NZAKLFTPPRDRH01,Production,FTP UIQ MDM,Red Hat Enterprise Linux 6.10,SFTP Upgrade and Migration,FY26 Q3,Monitoring,High,High,Y,Decommissioned,Red Hat Enterprise Linux 6.10,Production,Bluecurrent Wellington,04/Oct/26,N,,NZAKLFTPPRDRH01,Y,Red Hat Enterprise Linux,1,Remediated,Critical,Green,,
NZAKLFTPPRDRH02,Production,FTP,Red Hat Enterprise Linux 6.10,SFTP Upgrade and Migration,FY26 Q3,Monitoring,High,High,Y,For Decommissioning,Red Hat Enterprise Linux 6.10,Production,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.31.1.el6.x86_64),NZAKLFTPPRDRH02,Y,Red Hat Enterprise Linux 6 Server,1,Remediated,Critical,Green,,
NZAKLMDSTAGRH2,Preproduction,MDM Staging server,Red Hat Enterprise Linux 6.10,Decommissioning in progress,FY27 Q1,Network Isolation,Medium,Low,Y,Retired,Red Hat Enterprise Linux 6.10,PreProduction,Datacom Data Centre Orbit,05/Apr/25,N,,NZAKLMDSTAGRH2,N,,1,Remediated,Critical,Green,,
NZAKLP1ADMAPPRH1,Production,Application and SGG Admin Server,Red Hat Enterprise Linux 6.10,NZ MIP,FY27 Q1,Network Isolation,Medium,Low,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1ADMAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1AVAPPRH1,Production,RedHat AV Server and Meter API,Red Hat Enterprise Linux 6.10,NZ MIP,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1AVAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1BATAPPRH1,Production,Oracle UAF (OUAF) Batch Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1BATAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1BATAPPRH2,Production,Oracle UAF (OUAF) Batch Server,Red Hat Enterprise Linux 6.10,NZ MIP,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1BATAPPRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1BATAPPRH3,Production,Oracle UAF (OUAF) Batch Server,Red Hat Enterprise Linux 6.10,NZ MIP,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1BATAPPRH3,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1DBRH1,Production,Web Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1DBRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1DBRH2,Production,Oracle Database Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1DBRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1ESBAPPRH1,Development/Test,MuleSoft Application,Red Hat Enterprise Linux 6.10,Integration Modernisation,FY27,Network Isolation,High,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Development/Test,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1ESBAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZAKLP1ESBAPPRH2,Production,application,Red Hat Enterprise Linux 6.10,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1ESBAPPRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1ESBAPPRH3,Production,MuleSoft Application,Red Hat Enterprise Linux 6.10,Integration Modernisation. Spring Boot Application migration,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1ESBAPPRH3,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1ESBAPPRH4,Production,MuleSoft Application,Red Hat Enterprise Linux 6.10,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1ESBAPPRH4,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1FMWAPPRH1,Production,Oracle UAF (OUAF) Batch Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1FMWAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1FMWAPPRH2,Production,Oracle UAF (OUAF) Batch Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1FMWAPPRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1FMWAPPRH3,Production,Oracle UAF (OUAF) Batch Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1FMWAPPRH3,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1LOADAPPRH1,Production,Application and SGG Admin Server,Red Hat Enterprise Linux 6.10,NZ MIP,FY27,Network Isolation,Medium,Medium,Y,Retired,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,29/May/25,N,,NZAKLP1LOADAPPRH1,N,,1,Remediated,Critical,Green,,
NZAKLP1LOADAPPRH2,Production,Application and SGG Load Balancer,Red Hat Enterprise Linux 6.10,NZ MIP,FY27,Network Isolation,Medium,Medium,Y,Retired,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Wellington,29/May/25,N,,NZAKLP1LOADAPPRH2,N,,1,Remediated,Critical,Green,,
NZAKLP1MCAPPRH1,Production,MC App,Red Hat Enterprise Linux 6.10,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1MCAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1MQAPPRH1,Production,MQ App,Red Hat Enterprise Linux 6.10,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1MQAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1MQAPPRH2,Production,MQ App,Red Hat Enterprise Linux 6.10,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1MQAPPRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1OEMRH1,Preproduction/Disaster Recovery,Oracle Database Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,PreProduction/Disaster Recovery,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.43.1.el6.x86_64),NZAKLP1OEMRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
